intExpID,Type,Case,Protocol,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,Clae,Duanmu,Yin,Yu,P1203
60,5g,Driving-10,tcp,1,1,109,212643,78,0,239,6330,246,61727,6592,elastic,2000,320,180,320x180,0.261,59.041,197041.061,1.969,2.588
60,5g,Driving-10,tcp,1,1,110,214601,63,0,239,5195,163,40915,6635,elastic,2000,320,180,320x180,0.239,58.931,197280.576,1.953,2.571
60,5g,Driving-10,tcp,1,1,111,216568,81,0,239,4879,197,49406,6669,elastic,2000,320,180,320x180,0.218,58.822,197520.091,1.938,2.554
60,5g,Driving-10,tcp,1,1,112,218635,152,0,378,3031,230,57607,6602,elastic,2000,384,216,384x216,0.2,58.712,197759.606,1.924,2.533
60,5g,Driving-10,tcp,1,1,113,220681,152,0,766,3327,252,63225,6557,elastic,2000,512,288,512x288,0.192,58.635,198138.183,1.914,2.531
60,5g,Driving-10,tcp,1,1,114,222679,71,0,766,5433,192,48224,6559,elastic,2000,512,288,512x288,0.185,58.564,198904.481,1.904,2.517
60,5g,Driving-10,tcp,1,1,115,224661,81,0,766,6365,257,64449,6578,elastic,2000,512,288,512x288,0.177,58.495,199670.779,1.894,2.512
60,5g,Driving-10,tcp,1,1,116,226716,112,0,766,5536,310,77510,6524,elastic,2000,512,288,512x288,0.17,58.427,200437.077,1.884,2.508
60,5g,Driving-10,tcp,1,1,117,228787,145,0,766,7747,561,140428,6453,elastic,2000,512,288,512x288,0.163,58.36,201203.375,1.875,2.508
60,5g,Driving-10,tcp,1,1,118,231211,441,0,1077,4254,938,234518,6029,elastic,2000,640,360,640x360,0.162,58.305,201969.673,1.868,2.526
60,5g,Driving-10,tcp,1,1,119,233752,634,0,1077,4397,1394,348509,5489,elastic,2000,640,360,640x360,0.161,58.259,203047.595,1.861,2.539
60,5g,Driving-10,tcp,1,1,120,236215,282,0,1077,8027,1131,282972,5026,elastic,2000,640,360,640x360,0.161,58.213,204125.517,1.855,2.549
59,5g,Driving-10,tcp,1,1,1,23,23,0,239,741,8,2132,2000,elastic,2000,320,180,320x180,0,51.077,-5760.485,0.24,1.871
59,5g,Driving-10,tcp,1,1,2,959,258,0,572,6352,819,204860,4000,elastic,2000,512,288,512x288,0.335,47.875,-11520.97,0.406,2.119
59,5g,Driving-10,tcp,1,1,3,2245,596,0,1077,6776,2019,504822,4714,elastic,2000,640,360,640x360,0.338,49.503,1051.519,0.63,2.502
59,5g,Driving-10,tcp,1,1,4,3785,864,0,1077,4502,1944,486242,5174,elastic,2000,640,360,640x360,0.5,50.287,2129.441,0.742,2.633
59,5g,Driving-10,tcp,1,1,5,4980,489,0,1801,7974,1949,487454,5979,elastic,2000,736,414,736x414,0.496,51.841,3207.363,0.954,2.816
59,5g,Driving-10,tcp,1,1,6,6373,651,0,1801,5822,1895,473840,6587,elastic,2000,736,414,736x414,0.617,52.83,5008.697,1.095,2.902
59,5g,Driving-10,tcp,1,1,7,8048,937,0,4375,7942,3720,930218,6913,elastic,2000,1920,1080,1920x1080,0.096,56.469,6810.031,1.564,3.293
59,5g,Driving-10,tcp,1,1,8,9424,663,0,4375,9439,3129,782275,7538,elastic,2000,1920,1080,1920x1080,0.179,58.929,11185.05,1.915,3.401
59,5g,Driving-10,tcp,1,1,9,10974,832,0,4375,8831,3673,918424,7988,elastic,2000,1920,1080,1920x1080,0.373,60.842,15560.069,2.188,3.513
59,5g,Driving-10,tcp,1,1,10,12110,365,0,4375,19299,3522,880531,8853,elastic,2000,1920,1080,1920x1080,0.589,62.373,19935.088,2.407,3.619
59,5g,Driving-10,tcp,1,1,11,13453,572,0,4375,12855,3676,919189,9510,elastic,2000,1920,1080,1920x1080,0.802,63.625,24310.107,2.586,3.71
59,5g,Driving-10,tcp,1,1,12,14660,436,0,4375,17690,3856,964150,10304,elastic,2000,1920,1080,1920x1080,1.003,64.669,28685.126,2.735,3.766
